feature,importance
consecutive_dry_days,0.42054424
rain_yesterday,0.21732593
is_rainy_season,0.06231732
rain_roll_mean_7d,0.041021783
humidi,0.034744225
min_temp,0.0251673
humid_cloud,0.022449913
rain_roll_mean_14d,0.013276655
temp_diff,0.011978053
rain_roll_mean_30d,0.011533643
day_cos,0.011472818
region_encoded,0.011338714
pressure,0.010416904
month_cos,0.009524078
pressure_diff,0.008804079
wind,0.008749401
cloud,0.008236341
max_temp,0.007685584
rain_roll_std_30d,0.0075179767
month_sin,0.006823988
province_encoded,0.006657345
day_sin,0.006552014
wind_dir_sin,0.005605869
temp_humid_interaction,0.0054297787
wind_dir_cos,0.005250282
rain_roll_max_30d,0.004363127
rain_roll_max_7d,0.004343718
rain_roll_max_14d,0.00375655
rain_roll_std_7d,0.0035563898
rain_roll_std_14d,0.0035560161
