feature,importance
wet_streak_days,0.2852367
wet_to_dry,0.2177939
consecutive_dry_days,0.18327549
rain_yesterday,0.07695
heavy_rain_yesterday,0.057387687
dry_to_wet,0.020152448
rain_ewm_7d,0.01801443
humidi,0.011889697
is_rainy_season,0.011308371
rain_ewm_14d,0.010973869
min_temp,0.006858078
humid_cloud,0.0068424745
temp_diff,0.0066724042
rain_roll_mean_30d,0.0054880506
region_encoded,0.0054666535
rain_roll_std_30d,0.005324065
pressure,0.005094161
wind,0.004015828
day_cos,0.0037676953
rain_roll_max_3d,0.0036673383
pressure_roll_mean_3d,0.003581484
pressure_diff,0.003395602
month_sin,0.0031502752
cloud,0.003043603
temp_humid_interaction,0.0029299303
month_cos,0.0027783806
day_sin,0.0027093813
wind_dir_sin,0.0026603448
province_encoded,0.0026550982
max_temp,0.0026502742
wind_roll_mean_3d,0.0022727158
rain_lag_2d,0.002100009
wind_dir_cos,0.0019879863
rain_roll_mean_14d,0.0019317408
rain_roll_max_30d,0.0018448032
rain_roll_std_7d,0.0016672725
rain_roll_max_14d,0.0016617904
rain_roll_mean_3d,0.0016589377
rain_roll_std_3d,0.0016469364
rain_roll_std_14d,0.0015943118
rain_lag_3d,0.0015430796
rain_roll_mean_7d,0.0014893382
rain_roll_max_7d,0.0014807218
rain_lag_5d,0.0013867214
